state,action,value
0:0:0:1,right,9.16
0:-1:0:-1,left,6.47
1:1:1:0,down,8.19
0:0:-1:0,up,6.98
1:-1:0:-1,up,5.91
0:-1:1:-1,up,5.74
1:-1:-1:0,up,5.73
0:1:-1:1,right,5.71
0:-1:1:-1,left,5.58
-1:0:-1:0,down,5.72
0:1:0:1,right,5.23
-1:1:0:1,down,5.36
-1:1:0:1,right,5.17
0:0:0:0,left,5.36
1:-1:-1:0,right,5.28
-1:1:1:1,down,5.26
1:0:1:-1,up,5.25
1:0:1:0,left,5.11
-1:1:-1:1,down,5.19
1:0:1:0,up,5.10
-1:1:-1:0,right,4.92
-1:-1:-1:-1,up,4.54
-1:1:1:0,down,5.04
1:-1:0:1,right,4.99
1:0:0:1,up,5.76
1:-1:0:-1,left,4.97
1:-1:0:1,up,4.97
-1:1:1:1,right,4.96
0:1:1:-1,left,5.81
0:0:-1:1,right,8.35
1:-1:1:-1,left,5.51
0:-1:0:1,right,4.86
1:-1:-1:1,right,4.80
1:-1:1:0,up,6.69
1:-1:0:0,up,8.11
-1:0:1:-1,left,5.67
-1:0:-1:1,right,4.74
1:-1:1:-1,up,4.74
0:-1:-1:1,right,5.27
0:-1:-1:0,right,4.88
0:0:0:0,up,4.72
-1:1:-1:0,down,4.71
-1:0:-1:1,down,5.21
1:0:1:1,up,4.69
-1:0:-1:0,right,4.66
0:1:0:0,left,4.61
1:0:-1:1,right,4.95
0:1:-1:1,down,4.56
0:-1:-1:0,up,5.78
1:-1:1:0,left,4.55
1:0:1:0,down,4.51
0:-1:1:1,right,4.41
0:0:-1:0,down,4.38
0:0:0:-1,right,4.33
-1:1:-1:1,right,4.29
0:1:0:1,down,4.28
0:-1:-1:1,up,4.25
-1:1:0:0,down,7.03
-1:1:1:0,left,4.13
0:0:1:0,up,4.12
1:0:-1:1,up,4.11
0:0:0:1,up,4.09
0:0:-1:1,down,4.07
1:-1:-1:1,up,4.57
1:0:-1:1,down,3.74
0:0:1:-1,left,7.95
0:0:1:1,left,4.01
-1:1:0:1,left,3.90
1:0:0:1,right,3.90
1:1:0:1,up,3.89
-1:1:0:0,left,4.67
0:1:1:0,left,4.19
0:1:0:1,left,3.86
1:0:0:1,down,3.79
1:0:1:-1,left,3.70
1:-1:0:1,down,3.65
-1:1:0:-1,left,4.90
1:0:1:-1,down,3.60
-1:-1:-1:-1,right,3.39
-1:0:0:-1,down,4.95
1:-1:1:0,down,3.42
-1:1:0:0,right,5.88
-1:1:1:-1,down,3.56
1:-1:0:-1,right,3.34
1:0:1:-1,right,3.32
1:1:0:0,up,3.31
-1:1:0:1,up,3.21
1:-1:0:1,left,3.21
0:1:1:0,right,3.20
1:-1:1:-1,right,3.19
0:0:1:1,right,3.19
-1:1:1:-1,left,3.17
1:-1:-1:0,left,3.13
1:0:0:1,left,3.32
0:-1:-1:1,down,3.39
0:0:-1:1,up,4.32
-1:1:0:-1,down,3.05
0:1:1:-1,down,3.00
0:-1:0:-1,right,2.96
0:0:0:1,down,2.88
1:-1:1:-1,down,2.85
0:-1:1:-1,down,2.84
0:1:1:-1,up,2.80
1:1:0:0,left,2.78
0:-1:-1:0,left,2.85
0:1:1:0,up,2.72
-1:0:0:1,down,2.70
0:1:1:1,left,2.69
0:0:1:1,up,2.67
1:0:1:0,right,2.66
0:-1:0:-1,down,2.65
1:-1:1:0,right,2.64
0:1:0:1,up,2.63
0:-1:0:-1,up,2.61
0:1:-1:1,up,2.59
1:-1:-1:1,left,2.65
0:-1:-1:1,left,2.55
-1:1:-1:0,left,2.53
-1:1:-1:1,up,2.53
0:0:1:0,down,2.46
1:0:0:0,up,2.44
0:1:-1:1,left,2.39
-1:0:1:-1,up,2.60
-1:0:-1:1,up,2.18
-1:1:0:0,up,2.91
-1:1:1:-1,up,2.16
-1:0:-1:0,left,2.12
-1:-1:-1:-1,down,2.11
1:-1:0:-1,down,2.02
-1:0:-1:0,up,1.98
1:-1:-1:1,down,1.98
-1:1:-1:0,up,1.93
-1:0:0:-1,left,1.92
-1:1:1:0,right,1.84
1:0:1:1,down,1.81
1:-1:-1:0,down,1.79
0:-1:-1:0,down,2.59
1:0:-1:1,left,1.76
-1:-1:-1:-1,left,1.75
0:1:1:-1,right,1.74
0:-1:1:-1,right,1.68
1:1:1:1,down,1.66
0:1:1:0,down,1.66
0:0:-1:1,left,2.62
1:-1:0:0,left,7.43
-1:1:-1:1,left,2.00
-1:1:0:-1,up,1.21
-1:1:0:-1,right,1.16
-1:1:1:0,up,0.90
1:1:1:-1,down,0.86
-1:1:1:-1,right,0.82
-1:0:-1:1,left,0.73
1:-1:0:0,down,3.32
1:0:0:0,down,0.58
1:-1:0:0,right,4.57
-1:0:1:-1,right,0.53
0:-1:0:1,down,0.43
-1:0:0:-1,right,0.42
0:0:1:-1,up,0.25
-1:0:1:-1,down,0.23
0:0:1:-1,right,0.19
0:0:0:0,right,0.00
0:0:0:0,down,0.00
-1:0:-1:-1,left,-2.02
1:0:0:0,right,-1.61
1:0:0:0,left,-0.97
0:0:0:1,left,-0.67
0:0:1:-1,down,-0.62
-1:0:0:0,up,-0.52
-1:0:0:-1,up,-0.14
-1:0:1:0,right,-0.03
