state,action,value
-1:-1:-1:-1,left,3.50
-1:-1:-1:-1,down,1.44
-1:-1:-1:-1,up,4.35
-1:-1:-1:-1,right,1.91
-1:-1:-1:0,up,0.61
-1:-1:-1:0,right,8.96
-1:-1:-1:0,down,0.03
-1:-1:0:-1,down,0.10
-1:-1:0:-1,up,0.68
-1:-1:0:-1,right,1.16
-1:-1:0:-1,left,5.53
-1:-1:0:0,right,1.31
-1:0:-1:-1,up,0.04
-1:0:-1:-1,left,-0.01
-1:0:-1:-1,down,10.83
-1:0:-1:0,right,0.76
-1:0:-1:0,left,3.82
-1:0:-1:0,down,3.84
-1:0:-1:0,up,0.12
-1:0:-1:1,right,1.12
-1:0:-1:1,down,4.11
-1:0:-1:1,up,0.72
-1:0:-1:1,left,0.64
-1:0:0:-1,up,1.99
-1:0:0:-1,right,2.19
-1:0:0:-1,left,1.22
-1:0:0:-1,down,4.69
-1:0:0:0,right,0.34
-1:0:0:0,left,-0.02
-1:0:0:0,down,1.70
-1:0:0:0,up,0.11
-1:0:0:1,down,-0.02
-1:0:1:-1,right,1.34
-1:0:1:-1,left,3.57
-1:0:1:-1,down,0.62
-1:0:1:-1,up,0.00
-1:0:1:0,right,0.07
-1:1:-1:0,left,2.35
-1:1:-1:0,up,0.77
-1:1:-1:0,right,1.74
-1:1:-1:0,down,0.56
-1:1:-1:1,left,0.32
-1:1:-1:1,down,3.56
-1:1:-1:1,right,1.01
-1:1:0:-1,down,4.55
-1:1:0:-1,right,0.53
-1:1:0:-1,left,1.02
-1:1:0:-1,up,1.22
-1:1:0:0,left,2.98
-1:1:0:0,up,0.89
-1:1:0:0,right,3.72
-1:1:0:0,down,0.38
-1:1:0:1,down,0.59
-1:1:0:1,left,2.65
-1:1:0:1,up,0.23
-1:1:0:1,right,0.20
-1:1:1:-1,left,0.39
-1:1:1:-1,up,-0.02
-1:1:1:-1,right,-0.04
-1:1:1:-1,down,3.38
-1:1:1:0,up,-0.06
-1:1:1:0,left,0.92
-1:1:1:0,down,0.03
-1:1:1:0,right,1.57
-1:1:1:1,left,0.35
0:-1:-1:-1,up,5.21
0:-1:-1:0,down,0.44
0:-1:-1:0,right,0.75
0:-1:-1:0,up,4.14
0:-1:-1:0,left,1.84
0:-1:-1:1,down,0.21
0:-1:-1:1,right,4.88
0:-1:-1:1,up,4.45
0:-1:-1:1,left,1.41
0:-1:0:-1,down,0.72
0:-1:0:-1,right,0.29
0:-1:0:-1,left,3.81
0:-1:0:-1,up,2.29
0:-1:0:0,left,1.20
0:-1:0:0,right,-0.02
0:-1:0:0,up,0.57
0:-1:0:1,left,-0.02
0:-1:1:-1,up,4.12
0:-1:1:-1,left,0.14
0:-1:1:-1,right,0.61
0:-1:1:-1,down,0.19
0:-1:1:0,left,1.69
0:0:-1:0,up,1.19
0:0:-1:0,left,0.03
0:0:-1:0,down,1.28
0:0:-1:1,left,3.92
0:0:-1:1,down,3.86
0:0:-1:1,right,4.56
0:0:-1:1,up,3.82
0:0:0:-1,left,0.12
0:0:0:-1,down,3.02
0:0:0:0,up,0.05
0:0:0:0,down,1.13
0:0:0:0,left,0.15
0:0:0:0,right,0.30
0:0:0:1,right,5.80
0:0:0:1,up,1.30
0:0:0:1,down,0.25
0:0:0:1,left,0.27
0:0:1:-1,left,6.06
0:0:1:-1,down,2.04
0:0:1:-1,up,1.75
0:0:1:-1,right,4.31
0:0:1:0,up,-0.05
0:0:1:0,right,0.44
0:0:1:0,left,5.93
0:0:1:1,right,5.22
0:1:-1:0,right,0.21
0:1:-1:0,left,-0.01
